fecha,anio,mes,dia_semana,estacion,id_vaca,nombre_vaca,raza,sistema_produccion,edad_meses,numero_lactancia,peso_kg,temperatura_c,humedad_pct,precipitacion_mm,indice_thi,estres_termico,tipo_alimento,consumo_ms_kg,fibra_pct,proteina_dieta_pct,energia_mcal_kg,aditivo_1,aditivo_2,metano_g_dia,intensidad_metano,leche_kg_dia,grasa_pct,proteina_leche_pct,lactosa_pct,omega3_mg_l,antioxidantes_ppm,mastitis,celulas_somaticas,condicion_corporal
2024-02-23,2024,2,Friday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,690.67,27.15,72.36,9.75,77.4,1,Omega Plus,17.3,28.9,17.07,1.03,Taninos,Ninguno,446.93,19.99,22.36,3.93,3.03,4.54,237.68,9.42,0,174591,3.42
2024-02-24,2024,2,Saturday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,675.86,29.52,79.32,0,82.05,1,Omega Plus,19.06,27.32,15.34,1.24,Taninos,Ninguno,434.7,19.55,22.24,4.14,3.14,4.88,248.03,11.22,0,222163,3.54
2024-02-25,2024,2,Sunday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,703.58,28.22,70.55,0,78.78,1,Omega Plus,21.06,32.04,18.84,1.59,Taninos,Ninguno,508.95,23.67,21.5,3.77,2.94,4.72,243.47,14.15,0,240143,3.05
2024-02-26,2024,2,Monday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,662.25,25.58,70.34,0.77,74.77,1,Omega Plus,20.91,26.75,15.81,1.65,Taninos,Ninguno,461.06,19.57,23.57,3.94,3.16,4.43,227.93,12.87,0,125740,2.75
2024-02-27,2024,2,Tuesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,676.41,27.03,71.39,12.79,77.09,1,Omega Plus,21.07,26.7,17.63,1.4,Taninos,Ninguno,464.46,20.7,22.44,3.94,3.37,4.63,217.63,12.37,0,199634,2.67
2024-02-28,2024,2,Wednesday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,694.79,29.34,74.32,6.86,81.03,1,Omega Plus,20.15,29.64,16.03,1.79,Taninos,Ninguno,466.05,19.47,23.94,3.91,3.29,4.78,251.75,11.8,0,212083,2.67
2024-02-29,2024,2,Thursday,Invierno,VAC_001,Vaca_001,Jersey,Pastoreo,91,5,676.13,28.77,80.65,0,81.04,1,Omega Plus,21.82,32.96,16.21,1.77,Taninos,Ninguno,493.99,21.11,23.4,3.88,3.06,4.71,248.91,10.45,0,179928,2.76
2024-03-01,2024,3,Friday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,671.67,30.97,73.5,1.47,83.41,1,Omega Plus,21.51,29.27,17.99,1.71,Taninos,Ninguno,482,20.91,23.05,3.94,3.14,4.75,232.65,12.21,0,202428,3.35
2024-03-02,2024,3,Saturday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,692.28,28.8,81.74,0,81.25,1,Omega Plus,22.39,29.46,17.19,1.67,Taninos,Ninguno,478.8,19.77,24.21,3.52,3.11,4.78,238.73,12.56,0,109243,2.81
2024-03-03,2024,3,Sunday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,700.3,31.99,86.41,4.9,87.22,1,Omega Plus,24.49,33.58,16.84,1.57,Taninos,Ninguno,507.88,24.88,20.41,3.69,3.03,4.49,229.31,9.99,0,208032,3.22
2024-03-04,2024,3,Monday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,701.59,26.42,76.71,5.63,76.79,1,Omega Plus,23.84,31.15,18.17,1.67,Taninos,Ninguno,471.45,20.92,22.54,3.88,3.08,4.83,235.68,14.02,0,203781,3.2
2024-03-05,2024,3,Tuesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,658.76,27.98,70.34,4.96,78.38,1,Omega Plus,21.09,33.02,18.91,1.28,Taninos,Ninguno,505.26,22.11,22.85,3.67,3.17,4.54,249.98,12.65,0,211421,3.4
2024-03-06,2024,3,Wednesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,680.9,28.74,84.85,0,81.59,1,Omega Plus,23.69,32.38,17.91,1.45,Taninos,Ninguno,514.95,23.1,22.29,4.02,3.16,4.79,216.86,11.06,0,144739,3.62
2024-03-07,2024,3,Thursday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,680.91,30.74,74.71,6.28,83.26,1,Omega Plus,23.44,29.96,15.26,1.77,Taninos,Ninguno,504.7,25.05,20.14,3.76,3.18,4.64,249.73,13.41,0,170551,2.72
2024-03-08,2024,3,Friday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,681.64,28.05,79.03,6.96,79.67,1,Omega Plus,25.02,28.55,17.82,1.45,Taninos,Ninguno,490.34,20.95,23.4,4.05,3.18,4.7,230.2,13.34,0,184095,2.78
2024-03-09,2024,3,Saturday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,683.7,28.44,74.8,2.04,79.71,1,Omega Plus,21.12,31.47,17.01,1.41,Taninos,Ninguno,465.06,20.74,22.42,4.09,3.08,4.63,263.62,13.5,0,160418,2.61
2024-03-10,2024,3,Sunday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,684.45,28.2,79.31,2.8,79.95,1,Omega Plus,22.72,31.34,16.46,1.69,Taninos,Ninguno,500.68,20.94,23.91,3.95,3.25,4.62,243.11,13.69,0,137343,3.45
2024-03-11,2024,3,Monday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,680.78,28.67,76.95,9.76,80.36,1,Omega Plus,23.56,31.8,16.21,1.59,Taninos,Ninguno,482.37,20.31,23.75,4.26,3.05,4.64,245.02,14.08,0,166970,3.11
2024-03-12,2024,3,Tuesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,673.85,29.65,73.68,2.6,81.41,1,Omega Plus,20.05,31,15.85,1.91,Taninos,Ninguno,492.44,21.9,22.49,3.99,3.33,5.08,238.57,11.64,0,149081,3.18
2024-03-13,2024,3,Wednesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,686.14,30.97,70.28,1.78,82.89,1,Omega Plus,22.7,24.91,17.08,1.65,Taninos,Ninguno,473.4,19.96,23.72,3.52,3.15,4.8,218.81,10.81,0,244730,3
2024-03-14,2024,3,Thursday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,686.53,32.74,75.48,3.32,86.5,1,Omega Plus,19.31,31.92,17.15,1.65,Taninos,Ninguno,490.12,23.24,21.09,3.91,3.22,4.78,229.73,11.39,0,109116,3.24
2024-03-15,2024,3,Friday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,685.22,29.35,65.75,2.08,79.78,1,Omega Plus,20.44,28.88,17.17,1.76,Taninos,Ninguno,476.55,22.52,21.16,3.54,3.14,4.81,259.75,12.95,0,216351,3.14
2024-03-16,2024,3,Saturday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,673.7,32.74,71.89,8.55,85.84,1,Omega Plus,20.8,31.14,17.38,1.42,Taninos,Ninguno,500.28,23,21.75,3.8,3.39,4.68,246.17,10.15,0,202919,3.39
2024-03-17,2024,3,Sunday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,681.71,24.91,74.58,0,74.2,1,Omega Plus,22.25,29.4,18.08,1.57,Taninos,Ninguno,461.2,18.54,24.87,4.13,3.39,4.94,240.19,12.39,0,146543,3.07
2024-03-18,2024,3,Monday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,658.33,30.5,73.65,0,82.71,1,Omega Plus,21.23,33.77,15.48,1.65,Taninos,Ninguno,496.12,20.99,23.63,3.5,3.1,4.61,211.01,11.38,1,463046,3.4
2024-03-19,2024,3,Tuesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,691.64,27.1,73.31,0,77.43,1,Omega Plus,22.21,30.7,18.63,1.62,Taninos,Ninguno,493.88,22.47,21.98,3.91,3.33,4.66,241.66,11.89,0,135809,3.53
2024-03-20,2024,3,Wednesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,690.56,26.9,76.24,14.36,77.49,1,Omega Plus,23.21,29.57,18.02,1.68,Taninos,Ninguno,505.3,21.68,23.31,3.8,3.08,4.71,238.62,10.01,0,196256,3.17
2024-03-21,2024,3,Thursday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,689.14,29.41,72.41,0,80.86,1,Omega Plus,24.45,33.41,16.68,1.65,Taninos,Ninguno,509.59,26.08,19.54,3.74,3.25,4.46,261.16,8.88,0,180438,3.09
2024-03-22,2024,3,Friday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,684.34,29.7,81.55,0,82.68,1,Omega Plus,22.48,29.61,17.29,1.68,Taninos,Ninguno,458.11,19.15,23.93,3.75,3.2,4.47,241.15,7.29,0,226980,3.52
2024-03-23,2024,3,Saturday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,680.98,27.1,73.82,3.67,77.5,1,Omega Plus,20.35,30.57,16.66,1.54,Taninos,Ninguno,491.17,22.4,21.92,4.06,2.86,4.61,243.26,13.64,0,173738,3.4
2024-03-24,2024,3,Sunday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,670.75,30.6,71.29,7.3,82.49,1,Omega Plus,22.96,30.76,16.52,1.29,Taninos,Ninguno,490.78,23.92,20.52,3.66,3.22,4.7,232.96,10.17,0,157439,3.07
2024-03-25,2024,3,Monday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,684.12,33.58,58.37,11.2,84.56,1,Omega Plus,23.39,28.91,16.15,1.66,Taninos,Ninguno,476.01,21.09,22.57,3.62,3.34,4.6,251.9,13.47,0,182506,3.55
2024-03-26,2024,3,Tuesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,675.58,29.47,63.91,5.37,79.68,1,Omega Plus,23.26,31.11,16.67,1.6,Taninos,Ninguno,503.13,22.46,22.4,3.89,3.16,4.7,216.91,12.64,0,196372,2.95
2024-03-27,2024,3,Wednesday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,677.35,27.96,70.53,1.38,78.39,1,Omega Plus,21.85,31.6,15.39,1.45,Taninos,Ninguno,503.63,21.78,23.13,3.93,3.12,4.62,256.14,13.12,0,206278,3.4
2024-03-28,2024,3,Thursday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,691.73,31.89,68.92,16.22,84.04,1,Omega Plus,18.56,30.17,17.68,1.67,Taninos,Ninguno,470.64,21.9,21.49,3.63,3.18,4.83,226.39,13.04,0,127062,2.88
2024-03-29,2024,3,Friday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,662.48,30.92,76.71,0,83.86,1,Omega Plus,20.62,28.93,13.82,1.65,Taninos,Ninguno,494.63,24.53,20.17,3.94,3.22,4.77,249.89,11.23,0,201497,3.14
2024-03-30,2024,3,Saturday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,92,5,700.33,28.73,70.13,5.17,79.49,1,Omega Plus,27.58,26.23,15.31,1.5,Taninos,Ninguno,459.65,18.33,25.08,3.94,3.22,4.65,230.93,12.49,0,193704,2.99
2024-03-31,2024,3,Sunday,Primavera,VAC_001,Vaca_001,Jersey,Pastoreo,93,5,678.59,28.31,69.73,6.79,78.81,1,Omega Plus,21.05,30.54,18,1.83,Taninos,Ninguno,482.14,20.2,23.87,3.69,2.98,4.98,235.06,13.48,0,156375,3.38
